Name,2MASS Name,SDSS Name,PanSTARRS Name,Other Name,RA (h:m:s),Dec (d:m:s),RA,DEC,SpT,SpT_Type,radius,e_radius,log_g,e_log_g,Teff,e_Teff,Mass,e_Mass,LACEwING,D_Trig,e_D_Trig,pmRA,e_pmRA,pmDE,e_pmDE,SDSS_u,e_SDSS_u,SDSS_g,e_SDSS_g,SDSS_r,e_SDSS_r,SDSS_i,e_SDSS_i,SDSS_z,e_SDSS_z,PanSTARRS_y,e_PanSTARRS_y,J,e_J,H,e_H,K,e_K,MKO_H,e_MKO_H,InDwarfArchive,L_T Transition,Priority,Declination,Visible,Ltflag,Jflag,Ranking,Star,Min,Max,R,Source,Filename,Filename2,WISE Name,Peculiarities,Member,Quality,LACEwING probability,WISE_W1,e_WISE_W1,WISE_W2,e_WISE_W2,WISE_W3,e_WISE_W3,WISE_W4,Young,Gaia_G,HRV,e_HRV,Polarized Filter,Polarized %,e_Polarized %,Polarized Angle,Comments,Polarization,Polflag,e_Gaia_G,MKO_J,e_MKO_J,IRAC3p6,e_IRAC3p6,IRAC4p5,e_IRAC4p5,e_WISE_W4,MKO_K,e_MKO_K,Instrument,MKO_Y,e_MKO_Y,Q/I,e_Q/I,U/I,e_U/I,Variable,e_Variable,Variable%,Variable_period,Varflag,IRAC5p8,e_IRAC5p8,IRAC8,e_IRAC8,e_Variable_period,Sp Note,MKO_L,e_MKO_L
J0017-0316,00174858-0316334,001748.66-031634.8,001748.671-031634.952,,00 17 48.587,-03 16 33.47,4.452445,-3.275965,M7 (beta),NIR,,,,,,,,,(None),,,,,,,23.128,0.54,19.615,0.021,18.319,0.008,16.192,0.009,15.166,0.003,14.626,0.007,13.235,0.025,12.625,0.023,12.29,0.026,,,,,,D,,,1,,,,,,,,,J001748.66-031634.7,,Field,,,11.956,0.022,11.76,0.022,11.771,0.29,8.819,Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0018-6703,00182834-6703130,,,,00 18 28.547,-67 03 13.84,4.6189468,-67.0538452,L0 (gamma),NIR,1.58,0.02,5,0.5,1700,100,13.7,0.4,Tuc-Hor,,,66,4,-52.3,12.6,,,,,,,,,,,,,15.457,0.059,14.48,0.061,13.711,0.04,,,,,1,,X,,0,,00182834-6703130,0.89201856,2.4639432,1155.8,Montreal,J00182834-6703130.txt,,J001828.48-670313.6,"Red, Low-gravity (Young?)",THA,99.9,45,13.191,0.024,12.801,0.025,12.614,0.446,8.942,Tuc-Hor,20.358,,,,,,,,,,,,,,,,,,,,FLAMINGOS-2,,,,,,,,,,,,,,,,,,,
J0018-0025,,,001836.580+002559.318,ULAS J001837-002559,00 18 37.00,-00 25 59.0,4.654167,-0.433056,L9,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,20.706,0.061,19.7,0.049,,,,,,,,,,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0018-6356,00184613-6356122,,,,00 18 46.140,-63 56 12.27,4.692249,-63.936741,L2,Opt,,,,,,,,,(None),,,332.183,3.784,-382.349,3.784,,,,,,,,,,,,,15.224,0.044,14.229,0.044,13.611,0.041,,,X,,,,X,,0,,,,,,,,,001846.59-635615.7,,,,,13.264,0.025,13.004,0.027,12.538,0.273,,,19.774,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J004.7148+51.8918,,,001851.601+515330.489,PSO J004.7148+51.8918,00 18 51.525,+51 53 30.69,4.7146859,51.8918574,L7,Opt,,,,,,,,,(None),,,293,4,-12,7,,,,,,,,,20.175,0.047,19.154,0.103,16.82,0.15,15.29,0.11,14.64,0.07,,,,Opt,,D,,,0,,,,,,,,,J001851.52+515330.6,,Argus,80,,13.588,0.043,13.03,0.039,12.41,0.4,8.829,Argus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSO J004.7+41,00190754+4101249,,001907.663+410123.208,,00 19 07.682,+41 01 22.74,4.7820082,41.0229841,L0.1:,NIR,,,,,,,,,(None),,,100.5,4.4,-130.3,1.1,,,22.184,0.167,20.782,0.036,18.111,0.006,16.665,0.005,15.843,0.002,14.15,0.026,13.489,0.03,13.077,0.026,13.539,0.007,,,,D,,,0,,,,,,,,,J001907.64+410123.2,,Field,,,12.779,0.023,12.46,0.024,11.828,0.296,8.62,Field,18.385,,,,,,,,,,,14.15,0.009,,,,,,13.056,0.007,,,,,,,,,,,,,,,,,,,,
J0019+0030,00191165+0030176,001911.63+003017.4,001911.620+003017.218,,00 19 11.618,+00 30 16.99,4.7984078,0.5047192,L1,Opt,,,,,,,,,(None),,,-28.78,15.24,-25.02,15.11,24.528,0.817,21.822,0.469,21.488,0.072,19.336,0.015,17.866,0.004,16.9,0.013,14.921,0.037,14.18,0.041,13.568,0.034,,,X,,,D,X,,0,,,,,,,,,J001911.62+003017.2,,,,,13.258,0.025,13.01,0.028,12.196,0.428,8.747,,19.631,-4.5,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00191296-6226005,00191296-6226005,,,00191296-6226005,00 19 13.109,-62 26 01.23,4.8046224,-62.433675,L1 (gamma),NIR,1.59,0.02,5,0.5,1755,258,14.88,4.52,(None),,,54.1,4.7,-34.5,12.1,,,,,,,,,,,,,15.64,0.061,14.618,0.055,13.957,0.052,,,,,1,,X,,0,,00191296-6226005,0.89265674,2.4674962,1138.7,Montreal,J00191296-6226005.txt,,J001913.05-622601.0,"Red, Low-gravity (Young?)",Tuc-Hor,Likely Member,,13.375,0.024,12.958,0.024,12.37,0.297,9.01,Tuc-Hor,20.641,,,,,,,,,,,,,,,,,,,,FLAMINGOS-2,,,,,,,,,,,,,,,,,,,
2MASS J00192626+4614078,00192626+4614078,,001926.421+461406.770,00192626+4614078,00 19 26.261,+46 14 07.81,4.859419,46.235504,M8 (beta),NIR,1.76,0.04,5,1,2637,371,66.62,48.99,AB Dor,39.22,2.31,140,60,-100,50,,,20.277,0.012,18.812,0.011,16.21,0.003,14.936,0.003,14.205,0.002,12.603,0.021,11.94,0.023,11.502,0.014,,,,,1,D,X,,1,3,00192626+4614078,0.809114,2.42226,1792.4,Montreal,J001926264614078.txt,,J001926.39+461406.8,"Red, Low-gravity (Young?)",AB Dor,Likely Member,92,11.28,0.023,11.018,0.02,10.739,0.075,9.434,AB Dor,,-19.5,2,J,0.38,0.15,,,P,2,,,,,,,,,,,SPeX,,,,,,,,,,,,,,,,,,,
J0019+4018,00193275+4018576,,001932.668+401854.948,NLTT 1011 B,00 19 32.759,+40 18 57.62,4.886494,40.316006,L2,NIR,,,,,,,,,(None),,,-97.1,8,-203.7,11.4,,,,,,,20.185,0.022,18.664,0.005,17.631,0.008,15.544,0.059,14.928,0.069,14.318,0.066,,,,,,D,X,,0,,,,,,,,,001932.66+401855.2,Companion,,,,13.762,0.026,13.414,0.032,12.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0019-3724,00193927-3724392,,,,00 19 39.279,-37 24 39.20,4.913664,-37.410889,L3,NIR,,,5,0.5,1700,100,,,Tuc-Hor,,,166,7.9,25,9.9,,,,,,,,,,,,,15.519,0.06,14.47,0.04,13.689,0.058,,,,,,W,X,,0,,00193927-3724392,0.656393,2.56732,245.5,SpeX,spex-prism_2MASSJ00193927-3724392_20030904_BUR10A.txt,,J001939.44-372439.0,INT-G,Field,,65,13.141,0.023,12.831,0.024,12.54,0.495,9.044,Tuc-Hor,,,,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
WISEA J002050.25-151913.1,00205014-1519129,002050.22-151913.1,002050.280-151913.044,,00 20 50.148,-15 19 12.97,5.208948,-15.32027,L6:,NIR,,,,,,,,,(None),,,158.5,15.9,-13.6,14.9,26.187,0.676,24.75,0.691,23.646,0.494,21.356,0.055,19.913,0.029,18.963,0.018,16.962,0.151,15.622,0.102,14.933,0.112,,,,NIR,,D,,,0,,,,,,,,,J002050.25-151913.1,,,,,14.36,0.03,14.051,0.047,12.164,,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0021-4244,00210589-4244433,,,LEHPM 1-494 B  ; DENIS-P J0021.0-4244 ; Koenigstuhl 1 B,00 21 05.896,-42 44 43.33,5.274565,-42.745369,L0.5,NIR,,,,,,,,,Tuc-Hor,25.14,1.33,258.305,3.631,-13.686,3.631,,,,,,,,,,,,,13.521,0.025,12.809,0.025,12.304,0.025,,,,,,,X,,1,,00210589-4244433,0.807979,2.42251,1555.1,Montreal,J00210589-4244433.txt,,002106.13-424443.3,FLD-G,Field,,20,11.898,0.024,11.599,0.022,11.27,0.088,,Tuc-Hor,18.085,3.7,0.4,,,,,,,,0.006,,,,,,,,,,SPeX,,,,,,,,,,,,,,,,,,,
J0021+0026,00213884+0026058,002138.90+002605.4,002138.944+002605.173,,00 21 38.847,+00 26 05.85,5.411861,0.434958,L1.5,Opt,,,,,,,,,(None),,,161.32,11.77,-84.69,10.86,24.007,0.779,25.086,0.608,23.916,0.506,21.67,0.063,20.278,0.022,19.289,0.035,16.953,0.157,16.288,,16.08,0.235,,,X,,,D,,,0,,,,,,,,,J002138.92+002605.0,,,,,15.756,0.051,15.347,0.104,12.482,,8.63,,,,,,,,,,,,,,,,,,,0.414,,,,,,,,,,,,,,,,,,,,,,
J0022-0110,00220932-0110399,002209.36-011039.8,002209.408-011039.417,,00 22 09.436,-01 10 39.35,5.5393169,-1.1775965,L0,Opt,,,,,,,,,(None),,,117.5,18.4,67.8,19.3,25.681,0.558,24.084,0.437,21.933,0.147,19.769,0.015,18.309,0.01,17.429,0.006,15.816,0.066,15.087,0.081,14.699,0.101,,,,,,D,X,,0,,,,,,,,,J002209.40-011039.4,,,,,14.373,0.029,14.077,0.047,12.272,0.437,8.927,,20.151,-30.3,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0024+1347,,,002406.373+134705.415,ULAS J002406+134705,00 24 06.00,+13 47 05.0,6.025,13.784722,L3,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,21.03,0.139,20.159,0.124,,,,,,,,,,,,D,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0024+0022,,,002422.661+002248.471,ULAS J002422.94+002247.9,00 24 22.977,+00 22 47.26,6.0957364,0.3797933,T4.5,NIR,,,,,,,,,(None),,,,,,,,,,,21.801,0.101,21.665,0.043,21.161,0.19,,,,,,,,,18.24,0.16,X,NIR,1,D,,1,0,1,,,,,,,,J002422.97+002247.2,,,,,16.96,0.118,15.892,0.179,12.435,,8.871,,,,,,,,,,,,,18.16,0.07,,,,,,,18.05,,19.59,0.15,,,,,,,,,,,,,,,,,
0024-0158,00242463-0158201,002424.58-015818.6,002424.690-015820.888,2MASS J00242463-0158201,00 24 24.636,-01 58 20.14,6.102652,-1.972262,M9.5,,1.09,0.05,5.22,0.1,2390,80,79.27,11.13,(None),,,,,,,22.52,0.304,21.495,0.27,18.677,0.01,20.494,0.115,14.37,0.004,,,11.992,0.035,11.084,0.022,10.539,0.023,,,,,,D,,,2,,,,,,,,,J002424.57-015818.4,,,,,10.174,0.024,9.913,0.019,9.388,0.039,8.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0024-0158,00242463-0158201,,002424.921-015817.170,BRI 0021-0214,00 24 25.14,-01 58 16.6,6.10475,-1.971278,M9.5,Opt,,,,,,,,,(None),11.55,0.53,-80.4,3.83,132.75,5.81,,,21.656,0.079,,,,,,,,,11.992,0.033,11.084,0.02,10.539,0.021,,,,,,D,X,,2,4,,,,,,,,002424.58-015818.4,,,,,10.166,0.024,9.9,0.019,9.412,0.039,,,,,,I,0.18,0.17,,,P,2,,,,,,,,,,,,,,-0.03,0.12,0.17,0.11,,,,,,,,,,,,,
0025+4759,00250365+4759191,,002504.082+475919.115,2MASS J00250365+4759191AB,00 25 03.659,+47 59 19.19,6.265247,47.988663,L4:,Opt,,,,,,,,,(None),43.82,1.69,311.81,39.01,-10.89,43.56,,,,,,,,,18.198,0.007,17.166,0.011,14.84,0.038,13.667,0.031,12.902,0.057,,,X,,,D,X,,0,,,,,,,,,002504.03+475918.2,Young(?) ; Binary,,,,,,,,,,,Young,,,,,,,,Binary: a=0.33 @ -126.9 deg (Reid et al. 2006). This object shares a common proper motion with HD 2057; which is 3.6 away. (Cruz et al. 2007),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0026-0943,00261147-0943406,002611.45-094341.1,002611.272-094342.638,,00 26 11.472,-09 43 40.69,6.5478,-9.727969,L1,Opt,,,,,,,,,(None),,,-218.4,13.2,-143.2,14.4,23.737,0.848,25.003,0.653,21.488,0.16,20.054,0.018,18.536,0.013,17.562,0.012,15.601,0.068,14.999,0.082,14.379,0.073,,,X,,,D,X,,0,,,,,,,,,002611.29-094342.3,,,,,14.026,0.03,13.832,0.053,11.928,,,,,-20.7,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00265329-0936267,00265329-0936267,002653.28-093627.3,002653.185-093628.645,,00 26 53.296,-09 36 26.78,6.722068,-9.607438,M9p ,NIR,,,,,,,,,(None),,,-109,14.6,-135.2,12.2,25.695,1.014,25.136,0.856,22.304,0.203,20.33,0.015,18.898,0.01,17.96,0.012,16.182,0.082,15.316,0.11,14.834,0.111,,,,,,D,,,0,,,,,,,,,J002653.21-093628.3,Red,,,,14.589,0.032,14.354,0.057,12.341,,8.461,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00274197+0503417,00274197+0503417,002741.97+050341.7,002741.970+050341.785,00274197+0503417,00 27 41.973,+05 03 41.76,6.924889,5.0616,M9.5 (beta),Opt,1.44,0.23,4.48,0.43,1945,197,31.64,19.25,(None),72.46,8.4,10.5,0.4,-0.8,0.3,23.331,0.806,22.861,0.181,21.462,0.171,20.528,0.023,19.084,0.034,18.089,0.024,16.189,0.093,15.288,0.099,14.964,0.116,,,,,1,D,,,0,,,,,,,,,J002741.97+050341.7,"Red, Low-gravity (Young?)",,,,14.618,0.031,14.071,0.045,12.509,0.529,9.056,red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0027-0806,00274534-0806046,002745.42-080605.3,002745.439-080605.354,,00 27 45.347,-08 06 04.62,6.938946,-8.101282,M5.5 (beta),NIR,,,,,,,,,(None),,,,,,,21.578,0.209,18.111,0.004,16.802,0.005,14.608,0.003,13.573,0.000955,13.01,0.003,11.574,0.026,10.967,0.022,10.614,0.023,,,,,,D,,,2,,,,,,,,,J002745.43-080605.3,INT-G,BPMG,85.2,,10.411,0.023,10.177,0.02,9.953,0.058,8.344,BPMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0027+2219,00275592+2219328,,002756.313+221930.572,2MASS J00275592+2219328,00 27 55.926,+22 19 32.84,6.983026,22.325788,M8Ve,,,,,,,,,,(None),,,,,,,,,18.625,0.01,17.196,0.003,14.386,0.000345,13.038,0.002,12.285,0.004,10.614,0.022,9.967,0.023,9.569,0.017,,,,,,D,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0027+0102,00275815+0102246,002800.41+010252.1,002800.448+010251.869,,00 28 00.440,+01 02 51.48,7.0018318,1.0476328,L0,Opt,,,,,,,,,(None),,,164.36,25.07,10.63,15.57,26.368,0.467,25.649,0.602,23.295,0.462,21.396,0.058,20.116,0.051,19.249,0.048,16.273,0.105,15.713,0.149,15.302,0.152,,,X,,,D,,,0,,,,,,,,,J002800.43+010251.4,,,,,16.152,0.063,16.242,0.219,12.284,,8.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0028+2249,00282091+2249050,,002820.774+224907.793,,00 28 20.911,+22 49 05.00,7.087131,22.818056,L5,NIR,,,5,0.5,,,,,(None),,,,,,,,,,,21.745,0.055,21.211,0.054,20.798,0.083,,,15.607,0.072,14.468,0.053,13.781,0.063,,,,NIR,,D,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0028+1423,,,002827.622+142348.445,ULAS J002828+142349,00 28 28.00,+14 23 49.0,7.116667,14.396944,L8.5,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,20.603,0.077,19.594,0.051,,,,,,,,,,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0028+1501,00283943+1501418,002839.45+150141.4,002839.592+150141.555,2MASSI J0028394+150141,00 28 39.432,+15 01 41.86,7.164301,15.028295,L4.5,Opt,,,,,,,,,(None),,,204.3,16,-23,16.3,25.268,0.712,24.791,0.522,23.996,0.455,21.618,0.058,20.01,0.021,18.958,0.018,16.507,0.109,15.256,0.088,14.556,0.074,,,X,,,D,,,0,,0028+15,0.636,2.51916,769.8,Leggett,L3_2MASS0028+15.txt,,J002839.56+150141.5,,,,,13.894,0.027,13.526,0.038,11.928,,8.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0028-1927,00285545-1927165,002855.49-192716.3,002855.537-192716.181,,00 28 55.455,-19 27 16.58,7.231061,-19.454605,L0:,Opt,,,,,,,,,(None),,,98.3,10.5,38.8,11,26.31,0.77,19.788,0.035,20.946,0.031,18.55,0.006,17.078,0.007,16.104,0.004,14.191,0.029,13.331,0.03,12.845,0.03,,,X,,,D,X,,0,,,,,,,,,J002855.52-192716.2,,,,,12.521,0.023,12.253,0.024,11.831,0.266,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0029+1456,,,002912.260+145605.123,ULAS J002912+145605,00 29 12.00,+14 56 05.0,7.3,14.934722,L1,NIR,,,,,,,,,(None),,,,,,,,,,,,,21.683,0.064,20.497,0.026,19.454,0.035,,,,,,,,,,,,D,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0030+2244,00302476+2244492,,003024.599+224452.807,HIP 2397 B,00 30 24.768,+22 44 49.28,7.603199,22.747023,L0.5,NIR,,,,,,,,,(None),33.89,1.32,178.4,8.6,-162.6,11.4,,,18.446,0.005,17.623,0.004,17.272,0.005,17.12,0.007,16.995,0.006,14.586,0.038,13.975,0.048,13.181,,,,,,,D,X,,0,,,,,,,,,003024.93+224447.2,Companion,,,,13.077,0.026,12.818,0.027,12.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00303013-1450333,00303013-1450333,,003030.328-145033.688,00303013-1450333,00 30 30.132,-14 50 33.40,7.625551,-14.84261,L4-L6 (beta),NIR,0.98,0.1,5.1,0.31,1436,131,50.89,23.43,AB Dor,26.72,3.21,244.99,3.58,-28.17,1.84,,,,,21.761,0.248,21.673,0.169,19.773,0.03,18.828,0.022,16.278,0.111,15.273,0.1,14.481,0.1,,,X,Opt,2,D,,1,0,1,0030300-145033,0.649751,2.55834,244,SpeX,spex-prism_2MASSWJ0030300-145033_20070728_BUR10A.txt,,003030.29-145033.4,"Red, Low-gravity (Young?)",ARG,26.5,43,13.657,0.028,13.263,0.034,12.275,,9.149,Argus,,,,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
J0030+3139,00304384+3139321,003043.80+313931.4,003043.774+313931.306,2MASSW J0030438+313932,00 30 43.846,+31 39 32.16,7.682693,31.658932,L2,Opt,,,,,,,,,(None),,,-49.43,14.74,-56.87,14.7,25.288,0.944,24.672,0.478,21.863,0.119,19.98,0.013,18.524,0.004,17.537,0.012,15.48,0.054,14.617,0.057,14.027,0.048,,,X,,,D,X,,0,,,,,,,,,J003043.78+313931.2,,,,,13.485,0.025,13.133,0.028,12.182,0.324,9.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WISEA J003052.08-380829.6,00305194-3808292,,,,00 30 51.946,-38 08 29.23,7.716443,-38.141453,L5,NIR,,,,,,,,,(None),,,150.1,26.1,-33.4,24.4,,,,,,,,,,,,,17.18,0.231,16.062,0.175,15.172,0.162,,,,NIR,,W,,,0,,,,,,,,,J003052.08-380829.6,,,,,14.898,0.032,14.516,0.051,12.013,,8.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J007.7921+57.8267,00310928+5749364,,003110.135+574936.272,PSO J007.7921+57.8267,00 31 10.061,+57 49 36.16,7.7919215,57.8267105,L9,Opt,,,,,,,,,(None),,,526,2,-12,4,,,,,,,21.355,0.19,18.212,0.015,17.001,0.013,14.95,0.04,13.78,0.04,13.22,0.03,,,,Opt,1,D,X,1,0,1,,,,,,,,J003110.06+574936.1,,Argus,99,,12.422,0.024,11.843,0.021,10.96,0.069,9.602,Argus,,,,,,,,MKO J Photometry from UKIRT/WFCAM,,,,14.79,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0031-3840,00311925-3840356,,,WISEPC J003119.76-384036.4 ; DENIS J0031192-384035 ; SIPS J0031-3840,00 31 19.257,-38 40 35.67,7.830238,-38.676575,L2.5,Opt,,,,,,,,,(None),,,550.5,7.2,-43,10.2,,,,,,,,,,,,,14.101,0.032,13.399,0.023,12.924,0.034,,,X,,,W,X,,0,,,,,,,,,003119.76-384036.1,Blue,,,,12.396,0.026,12.008,0.023,11.557,0.169,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J007.9194+33.5961,00314067+3335459,,003140.648+333545.748,PSO J007.9194+33.5961,00 31 40.672,+33 35 45.93,7.919468,33.596092,L9,Opt,,,,,,,,,(None),,,-19,5,-10,6,,,25.937,,22.868,,21.683,0.066,19.585,0.011,18.587,0.017,16.453,0.127,15.428,0.12,14.49,0.079,,,,Opt,,D,,,0,,,,,,,,,J003140.64+333545.8,,,,,13.755,0.026,13.247,0.03,12.199,0.351,8.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0032+0219,00320509+0219017,,003205.393+021858.076,,00 32 05.097,+02 19 01.71,8.021236,2.317142,L1.5,Opt,,,,,,,,,(None),,,417.03,15.03,-311.98,14.82,,,,,20.875,0.047,18.672,0.001,17.295,0.004,16.341,0.007,14.324,0.026,13.386,0.024,12.802,0.032,,,X,,,D,X,,0,,,,,,,,,003205.36+021858.5,,,,,12.426,0.023,12.182,0.027,12.053,0.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0032-2237,00324308-2237272,,003243.183-223727.193,2MASSI J0032431-223727,00 32 43.080,-22 37 27.23,8.179502,-22.624231,L1,Opt,,,,,,,,,(None),,,115.05,26.23,20.29,15.75,,,22.711,,21.689,0.137,19.669,0.008,18.197,0.002,17.194,0.01,15.388,0.049,14.512,0.047,13.962,0.051,,,X,,,W,X,,0,,,,,,,,,J003243.17-223727.3,,,,,13.694,0.026,13.441,0.032,12.71,0.541,8.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00325584-4405058,00325584-4405058,,,00325584-4405058,00 32 56.026,-44 05 07.22,8.2334396,-44.0853377,L0 (beta),NIR,1,0.01,5.5,0.5,2066,413,41.64,29.47,AB Dor,46.3,15.43,128.3,3.4,-93.4,3,,,,,,,,,,,,,14.776,0.035,13.857,0.034,13.269,0.037,,,X,,1,,X,,0,,,,,,,,,J003255.97-440506.7,Young,AB Dor,Likely Member,66,12.839,0.024,12.524,0.024,11.798,0.246,8.947,AB Dor,19.513,12.95,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0032+1410,00325937+1410371,003259.36+141036.6,003259.604+141037.187,SDSSp J003259.36+141036.6,00 32 59.376,+14 10 37.11,8.247399,14.176976,L8,NIR,,,5.5,0.5,1400,100,,,(None),33.18,5.68,273,6.85,39.19,3.57,25.237,1.012,25.542,0.742,24.365,0.76,23.106,0.458,20.04,0.036,18.824,0.042,16.83,0.169,15.648,0.143,14.946,0.109,,,X,NIR,1,D,,1,0,1,003259.36+141036.6,0.647989,2.556,243.6,SpeX,spex-prism_SDSSpJ003259.36+141036.6_20071111_BUR10A.txt,,003259.56+141037.2,,,,,14.261,0.032,13.669,0.042,12.22,,,,,,,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
2MASS J003323.86-1521309,00332386-1521309,,003324.124-152130.507,003323.86-1521309,00 33 23.861,-15 21 30.94,8.349419,-15.358595,L4 (beta),Opt,1.43,0.22,4.47,0.42,1880,173,29.68,17.71,(None),23.36,0.98,309.5,10.4,28.9,18.3,,,22.049,0.229,21.77,0.118,19.829,0.01,18.398,0.011,17.467,0.015,15.286,0.056,14.208,0.051,13.41,0.039,,,X,,1,D,X,,0,,,,,,,,,003324.08-152130.5,FLD-G,,Rejected Argus,,12.801,0.025,12.479,0.027,11.888,0.247,8.879,,,-6.37,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J003338.45+282732.4,00333870+2827351,003338.46+282732.8,003338.432+282732.402,,00 33 38.455,+28 27 32.46,8.4102291,28.459018,L7.4,NIR,,,,,,,,,(None),,,-253.9,6.8,-208.2,6.1,24.291,1.706,24.073,0.472,22.672,0.329,20.922,0.028,19.041,0.03,17.894,0.009,15.893,0.071,14.989,0.068,14.804,0.089,,,,NIR,,D,,,0,,,,,,,,,J003338.45+282732.4,,,,,13.902,0.026,13.531,0.031,12.263,0.389,8.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0033-0908,00335534-0908247,003355.37-090824.7,003355.339-090825.833,,00 33 55.350,-09 08 26.18,8.4806259,-9.1406057,M7,NIR,,,4.5,1,,,,,(None),,,,,,,26.114,0.568,19.069,0.444,22.077,0.087,19.36,0.016,18.097,0.005,17.421,0.01,15.958,0.089,15.001,0.105,15.243,0.173,,,,,,D,,,0,,,,,,,,,J003355.35-090825.7,,,,,14.826,0.034,14.557,0.058,11.875,,8.497,,19.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0034-0052,,,003403.470+005220.167,ULAS J003402.77-005206.7,00 34 02.795,-00 52 08.26,8.5116454,-0.8689604,T8.5,NIR,,,,,,,,,(None),14.56,0.3,-120.46,51.49,-349.84,50.18,,,,,21.608,0.083,,,,,,,,,,,,,18.49,0.04,X,,,D,,,0,,,,,,,,,J003402.79-005208.2,,,,,17.007,0.133,14.544,0.062,11.955,,8.54,,,,,,,,,,,,,18.15,0.03,,,,,,18.48,0.05,,18.9,0.1,,,,,,,,,,,,,,,,,
J0034-4102,00344300-4102266,,,,00 34 43.009,-41 02 26.67,8.679205,-41.040741,L1 (beta),NIR,1.48,0.01,5.5,0.5,1700,100,12.8,0.4,Tuc-Hor,,,93.9,7.9,-41.2,10.8,,,,,,,,,,,,,15.707,0.067,14.807,0.065,14.084,0.056,,,,,1,,X,,0,,00344300-4102266,0.89734524,2.4656956,1146.2,Montreal,J00344300-4102266.txt,,J003443.10-410227.2,"Red, Low-gravity (Young?)",THA,98.7,55,13.52,0.025,13.117,0.028,12.475,0.399,9.112,Tuc-Hor,,,,,,,,,,,,,,,,,,,,,FLAMINGOS-2,,,,,,,,,,,,,,,,,,,
